gtvid,status,predicted_probability,actual_label,residual,model_roc_auc
TRW041,Temporarily Deactivated,0.0028481476381558178,0,0.0028481476381558178,0.8699592181637268
INW208,Temporarily Deactivated,0.004939072518577896,0,0.004939072518577896,0.8699592181637268
KCW098,Temporarily Deactivated,0.023870470905263168,0,0.023870470905263168,0.8699592181637268
JPW012,Temporarily Deactivated,0.00024588296226429207,0,0.00024588296226429207,0.8699592181637268
MAE052,Temporarily Deactivated,0.03955008965422758,0,0.03955008965422758,0.8699592181637268
CNW041,Temporarily Deactivated,0.005208585760898021,0,0.005208585760898021,0.8699592181637268
ATW315,Temporarily Deactivated,0.04995121446220646,0,0.04995121446220646,0.8699592181637268
JMG033,Temporarily Deactivated,0.006192562270929212,0,0.006192562270929212,0.8699592181637268
SKW075,Temporarily Deactivated,0.0034425880524389793,0,0.0034425880524389793,0.8699592181637268
NYW340,Awaiting Installation,0.007117010082710302,0,0.007117010082710302,0.8699592181637268
TPG289,Temporarily Deactivated,0.007401117267703617,0,0.007401117267703617,0.8699592181637268
FMG047,Temporarily Deactivated,0.004659493458981127,0,0.004659493458981127,0.8699592181637268
TPG290,Temporarily Deactivated,0.005474927484741378,0,0.005474927484741378,0.8699592181637268
WOG042,Temporarily Deactivated,0.001644908182935115,0,0.001644908182935115,0.8699592181637268
BIW053,Temporarily Deactivated,0.02514313380585978,0,0.02514313380585978,0.8699592181637268
KNW132,Temporarily Deactivated,0.011501264132277634,0,0.011501264132277634,0.8699592181637268
CHW480,Temporarily Deactivated,0.013362965177459298,0,0.013362965177459298,0.8699592181637268
MKG010,Deactivated,0.02405485986033005,0,0.02405485986033005,0.8699592181637268
LEG071,Deactivated,0.023652938942863848,0,0.023652938942863848,0.8699592181637268
MAG152,Temporarily Deactivated,0.00039522499052644424,0,0.00039522499052644424,0.8699592181637268
MAG153,Temporarily Deactivated,0.006191090085142838,0,0.006191090085142838,0.8699592181637268
RLG064,Temporarily Deactivated,0.0334584337137774,0,0.0334584337137774,0.8699592181637268
SAG106,Temporarily Deactivated,0.13757817649737247,1,0.8624218235026275,0.8699592181637268
SFG129,Temporarily Deactivated,0.01704663538030481,0,0.01704663538030481,0.8699592181637268
WRG049,Temporarily Deactivated,0.059357806749967434,0,0.059357806749967434,0.8699592181637268
DTG109,Temporarily Deactivated,0.013570957704561083,0,0.013570957704561083,0.8699592181637268
HOG589,Temporarily Deactivated,0.0236896248964581,0,0.0236896248964581,0.8699592181637268
CHG239,Temporarily Deactivated,0.010878226304674148,0,0.010878226304674148,0.8699592181637268
TCW090,Temporarily Deactivated,0.010709356982136485,0,0.010709356982136485,0.8699592181637268
RMG031,Deactivated,0.028297462791306734,0,0.028297462791306734,0.8699592181637268
RMG032,Deactivated,0.0036863514045915426,0,0.0036863514045915426,0.8699592181637268
TCW091,Temporarily Deactivated,0.005821455489900704,0,0.005821455489900704,0.8699592181637268
TCW092,Temporarily Deactivated,0.002353843721029402,0,0.002353843721029402,0.8699592181637268
TCW093,Temporarily Deactivated,0.030779860652199644,1,0.9692201393478004,0.8699592181637268
TCW094,Temporarily Deactivated,0.0061234253571784926,0,0.0061234253571784926,0.8699592181637268
TCW095,Temporarily Deactivated,0.012922334780669668,0,0.012922334780669668,0.8699592181637268
TCW096,Temporarily Deactivated,0.08008947149751872,0,0.08008947149751872,0.8699592181637268
CMG057,Temporarily Deactivated,0.0032406980909200594,0,0.0032406980909200594,0.8699592181637268
HOG592,Temporarily Deactivated,0.0240095757597588,0,0.0240095757597588,0.8699592181637268
MPG086,Temporarily Deactivated,0.006720338264671774,0,0.006720338264671774,0.8699592181637268
SFG130,Temporarily Deactivated,0.032930536728678704,0,0.032930536728678704,0.8699592181637268
GEG025,Temporarily Deactivated,0.0076881990414677985,0,0.0076881990414677985,0.8699592181637268
LXS048,Deactivated,0.20473246027864886,0,0.20473246027864886,0.8699592181637268
NYW477,Temporarily Deactivated,0.05418830488392801,0,0.05418830488392801,0.8699592181637268
ORG356,Temporarily Deactivated,0.0121395530083272,0,0.0121395530083272,0.8699592181637268
LRG137,Temporarily Deactivated,0.00018934671381328651,0,0.00018934671381328651,0.8699592181637268
BIG142,Temporarily Deactivated,0.002291298856374249,0,0.002291298856374249,0.8699592181637268
SLG093,Temporarily Deactivated,0.022225341676122605,1,0.9777746583238774,0.8699592181637268
CNG075,Temporarily Deactivated,0.012705364685767452,0,0.012705364685767452,0.8699592181637268
DOG008,Temporarily Deactivated,0.0006947443737717128,0,0.0006947443737717128,0.8699592181637268
SAG107,Temporarily Deactivated,0.03703379855017905,0,0.03703379855017905,0.8699592181637268
LYG028,Temporarily Deactivated,0.28238420491593375,0,0.28238420491593375,0.8699592181637268
GRG075,Temporarily Deactivated,0.02962023779254523,0,0.02962023779254523,0.8699592181637268
CMG058,Temporarily Deactivated,0.11951101514068149,0,0.11951101514068149,0.8699592181637268
HOG594,Temporarily Deactivated,0.008078704047296255,0,0.008078704047296255,0.8699592181637268
DTG110,Temporarily Deactivated,0.14395349201676097,0,0.14395349201676097,0.8699592181637268
FSG029,Temporarily Deactivated,0.019421827753988267,0,0.019421827753988267,0.8699592181637268
DOG009,Awaiting Installation,0.00036757083520736795,0,0.00036757083520736795,0.8699592181637268
FMG048,Awaiting Installation,0.00988059687072289,0,0.00988059687072289,0.8699592181637268
BRG064,Temporarily Deactivated,0.036385797747251994,0,0.036385797747251994,0.8699592181637268
ORG357,Temporarily Deactivated,0.0036144630485459663,0,0.0036144630485459663,0.8699592181637268
NYW341,Temporarily Deactivated,0.008191938442874526,0,0.008191938442874526,0.8699592181637268
MSW022,Deactivated,0.0285023802864476,0,0.0285023802864476,0.8699592181637268
NAW047,Deactivated,0.00954961715910751,0,0.00954961715910751,0.8699592181637268
DYW025,Deactivated,0.015727306667063744,0,0.015727306667063744,0.8699592181637268
CUW036,Deactivated,0.012533528883398665,0,0.012533528883398665,0.8699592181637268
RAW071,Deactivated,0.010738608757792787,0,0.010738608757792787,0.8699592181637268
CUW037,Deactivated,0.04269493794901421,0,0.04269493794901421,0.8699592181637268
EPW008,Deactivated,0.007342334771175281,0,0.007342334771175281,0.8699592181637268
SVW021,Deactivated,0.009294296900962144,0,0.009294296900962144,0.8699592181637268
MPW016,Deactivated,0.010957053279444991,0,0.010957053279444991,0.8699592181637268
WFW007,Deactivated,0.0012472997851529714,0,0.0012472997851529714,0.8699592181637268
WOW011,Deactivated,0.007688213920014783,0,0.007688213920014783,0.8699592181637268
WTW005,Cancelled,0.015385453144596582,0,0.015385453144596582,0.8699592181637268
INW209,Temporarily Deactivated,0.004435571617540371,0,0.004435571617540371,0.8699592181637268
FVW038,Temporarily Deactivated,0.0008833976928191713,0,0.0008833976928191713,0.8699592181637268
ASE013,Temporarily Deactivated,0.05132729824161564,1,0.9486727017583844,0.8699592181637268
